0.23,0.70,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.08,0.15,0.70,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.08,0.23,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.08,0.23,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.70,0.00,0.00,0.00,0.15,0.08,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.70,0.00,0.00,0.08,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.08,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.08,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.08,0.08,0.70,0.00,0.00,0.08,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.08,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.70,0.15,0.00,0.00,0.00,0.08
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.23,0.08,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.30,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.08,0.15,0.08
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.30
